comment_text,toxic
"You Suck
Suck it!!!!!",1
Hey there you are on google. I get the last say! 'There is 5 senses only!!!!!!! Everybody really only does want immortality foreeevvver!!!!!!!!!!!!!!!! Errrrasee that shittttttttt!!!!!!!!!!!!!!!!!!!!!!!!!!!! Stuppidd plato and old shit and wrong shit!!!!! I'm the best best I'b thought all out! You nonesense useless bastard! Go to hell.,1
Please do not trash up the article making it look like crap with all those boxes when you have not even given me time to finish. THANK YOU,1
"Talk:Nigger 
 Please stop your disruptive editing. If you continue to vandalize Wikipedia,  you will be blocked from editing.   ☎",1
"(UTC)

 Not knowing what happened,  perhaps the IP-only poster was an idiot etc.  However,  as an editor using only an IP,  they'll likely never to see your rant.  Therefore I'm not sure of the point of having the above on the discussion page (etc).  Could someone clarify the underlying issue?  Thanks.  03:33, 25 June 2012",1
"""So a person of Pakistani or African decent can't be classed as English in your view? Or you think that all skinheads are racists - even the black ones? And you feel that blacks and asians are """"taking over"""", well you must read the wrong sort of newspapers if those are the views you hold. I know that you must be consumed with self-loathing at not being English, but hey, look on the bright side, you can just add it to the list of other things """"you people"""" spend your miserable lives whining about. Take care now!  

""",1
"""

So threatening to try to have me banned for editing is fine, but when I suggest having your account deleted for constantly deleting entire paragraphs, completely ignoring Wikipedia's policies with regards to that, instead of tagging or editing, suddenly it's bullying? Nonsense and you know it, you're just trying to make me look bad by resorting to the """"you're a bully"""" nonsense. You have also not answered my question on which part is not neutral, despite my statement that I would edit it - you just deleted it again. Get over yourself. You do not own Wikipedia, the tags you've placed on your user page don't change that fact. You delete entire paragraphs for the sake of one word? I have occasionally made the mistake of putting a subjective word in an edit before, and someone has noticed - you know what they did? THEY EDITED IT! You have just admitted in writing that instead of editing paragraphs that you believe are not neutral, or marking them as such, you are deleting entire paragraphs against the policy of Wikipedia.""",1
"Hello

Hello my retarded ugly boy, you think you own wikipedia and edit pages but don't be fooled - you will be crushed and I will show you that you don't own the internetz. Wikipedia is for everyone and you can't control all the pages.

Douche.",1
who the fuk did i attack personally?,1
"""

 Son, I am disappoint. 

You could be studying to get a Ph.D. in biochemistry or a doctorate in medicine, but you waste your life deleting crap and blocking sock puppets on Wikipedia while simultaneously fapping to CP. Give me one good reason why I shouldn't whoop your ass to get you back in shape.  """,1
"You're a smug, disruptive asshole.  I can't believe you're monitoring my talk and userpage so closely as to be replying 10 minutes after I do.",1
"""

Content opponent? No, see this. Just a liar and hate-monger.   """,1
"n ig ger nig ger 

Hi n i g g e r",1
"Hello, Anne. 

You always were a bitch.",1
How about you shut up then!!!,1
"""

 Wikipedia sucks. 

All of these """"post monitors"""" or whatever the hell you asshole are, you suck. You really ruin wikipedia. If I can't even be in control of my own fucking page, on a website where you're free to edit and add input to anything else, is fucked up. Fuck you all, you're all huge faggots. Go ahead and have a power trip on me, you fucking bitch ass pussy.""",1
"OK
OK IT WAS A Joke. I have seen too many people bitching because the canon is female so i wanted to pull a prank",1
"Kindergarden! 

Some ignorants've added Pakistanis on the article. Pakistanis are Indid, not Iranid. What's next then? Gypsies?",1
"""

 Bias 

Hmn, funny how racism isn't mentioned at all in the article. I'm sure it has nothing to do with the fact that it isn't a """"white"""" organization.  """,1
"""

The dick who is editing with policy is also editing out of policy, by being arrogant, lazy and fucking up the functionality of the Image Workshop. His worrying obsession with NFCC#9 is his excuse for being a twat. he is deliberately making the workshop non-functional. For the IW to work properly we have to be able to either see or be able to link to the image being requested. Now Mr Dick esq comes along, deletes both the image and the link making the request impossible to deal with unless we go looking for an invisible comment hidden in the source code of the request. In spite of being told of 2 methods of maintaining NFCC#9 compliance and maintaining IW functionality Hammersoft refuses to use them. One of the methods only involves putting a colon at the front of the link. But will Hammersoft do this? No, he has refused point blank. This I firmly definitely and firmly puts him in the """"dick"""" category. His arrogance, his laziness, his Borg-like obsession with NFCC#9 and his truculence are disrupting a valuable resource with WP for no purpose. I would be grateful if you could copy and paste this as a response to his accusations at the incident board. Especially now you've effectively stopped me posting there. This is not an unblock request as I don't care one way or another, it's WP's loss if I can't sort out image requests for 24hrs, it's not my loss. This is a request though that Hammersoft either stays away from the IW or that he implements the methods we've informed him of.   """,1
Shut the hell up JeremyA stop posting nonsense.,1
Have fun in Hell little Fascists69.14.97.53,1
"Atlant is a spectactular idiot, superseded only by yourself.",1
And your a PRICK TO EMPOWER ASSHOLES LIKE PROPOL,1
"Fuck You 

Fuck you, douchébag",1
If you have a chance to read this you should instead of acting like a dick...i have faith that you can do this...the easiest way...stop acting like a dick and BTW happy new year to you.,1
"""
You are actually trying to goad me into an arguement.  How cute.  When you just said on your cute ANI post that we are wearing you out with our arguements.  As for that diff of your prefer versions, it would be the one before I reverted you...this one.  You didn't like the comprimise, so you revert it to what you feel is best, not to what was there before.  Try reading up on WP:OWN, cause you are trying to own this article and that ain't gonna happen.

Oh, and for someone """"standing by"""" their statement that it is good for people to believe ASE had a friend that was a murder victim.  You sir are a callous asshole (and I stand by that term) and nothing you do will make me believe otherwise.  If you can't see what you wrote was unthinkably wrong, rude and cold...you don't deserve to be on Wikipedia, not alone the internet....or this planet. -  • Talk • """,1
"Did you read the user attack
Did you actually read the attack on the user Yamla or did you just spot a few words, see a few opinions you didn't like and make a snap judgement? The only reason I put it there is because no-one listens elsewhere, I won't get a response to this, because you know you wrong, sure I did ruin his page, but I didn't attack him, I just had to make sure he understands (hey I can admit where I went wrong, can you?). But of course if you don't agree with the admin on wikidelusion you should fuck-off right? Can I have a structured debate about the actions against myself and the user Eddieebo, debating against the collective admin of wikipedia, primarily the people who imposes actions on myself and Eddieebo? Or are you afriad to be proven wrong yet again?",1
"you are an american biaes idiot 

you are an idiot who wants to dserstroy wikipedia. It is people like you who are responsible for the currwnt destruction of all that is good in the way wikipedia works I think you should get a life and stop deleting articles you American biased wally.",1
"Our boss doesn't give a crap.  We're on facebook all day.  But seriously, it's that big of an issue, that you have to block out everyone? That seems a bit unreasonable.  Have a good day.",1
"""i told you suck monkey butts!!!!!!!!!!"""" said George Washington.........""""hahahahaha and 2 more ha ha ha ha ha oh wait thats 4 ....hahahahahaha""",1
"""

Also, everything you linked to Dennis Brown, was quite obviously meant as humor. """"ALL I DID WAS TELL THE TRUTH ABOUT COAL WITH SOURCES. Those who blocked me ARE IN THE POCKET OF BIG COAL AND I EXPOSED THEIR NEFARIOUS plots. Please FREE KINGSHOWMAN!"""" 

Don't Wikipedia editors catch obvious attempts at humour? Perhaps you didn't find them funny, but they were meant as attempts at levity during the heated so-called """"Coal Wars"""". I was also not entirely alone in the position I took there on coal which was simply that a paragraph needed to be added to the lead to reflect Coal's Health and Environmental Effects. I wasn't taking an unreasonable position, and you will now see, that thanks to my tireless, thankless efforts to improve this encylopedia, that information is now in the lead on Coal. (not through reverts by me, but by others who agreed with my position.) I have not edited coal since my block, so I'm not quite sure how it makes sense to blocvk me again for something that I haven't gone back to doing.

Also, I did not harrass Flyer22. She harrassed me. May I relate the course of events,  which you may verify? First of all, I stopped communicating with her since she requested that I do so. Second of all, she got steamed because I added a paragraph on Nietzsche to her """"Happiness"""" article under the section """"Philsoophy of Happiness."""" Arguably (as other editors agreed) Nietzsche may have something valuable to say here, and I very quiickly made a summary of the SEP article on Nietzsche's moral philosophy on this topic. No, it wasn't perfect and the referencing could have used improvement, but it was better than omitting it and leaving readers with a somewhat one-sided impression of the Great Philosophers on Happiness. Flyer22 reverted my edit, giving a basically spurious reason: """"Unsourced"""" as I recall. But it was directed to THE MOST RELIABLE source on Philosophy, by general and academic consensus, the SEP. It would in fact be very easy to improve a great deal of Wiki Philosophy articles by just having editors sum up information from this wonderful free, peer-reviewed, academically rigorous resource.

Then, withouit provocation, after I asked her what exactly she found problematic about including Nietzsche in a list of philosophers who have written about Happiness, including similar statured luminaries like Augustine, Aquinas, Aristotle, Mill, etc. she responded, not by listing what was wrong with my Happiness edit, but by telling me """"ALL OF YOUR EDITS ARE POOR, PURE AND SIMPLE. YOU ARE A POOR EDITOR."""" I thought this was rather rude and ignorant, especfially as she saw fit to specifically attack my Hume edits (when Hume was not under discussion) telling me """"your edits on Hume largely consit of such (read=poor) edits and I'm tempted to revert them."""" Since I hate to see a poor soul suffering under the weight of such crushing temptation, I gave in to the temptation myself, and deleted all of my contributions from this encylopedia. Within hours, a throng of rebellion began to emerge,. a grass-roots protest movement which demanded the immediate return of all the much-loved Kingshowman edits to the encylopedia. Editors rushed to my defense. I told Flyer22 to eat crow and admit that, contra her opinion, my Hume edits and contributions to this beloved tome of knowledge were not so poor after all. She declined and escalated her attacks. She was the one who harrassed me, and I thought we were done with this sordid little episode until she popped back up, eager to participate in the latest round of mob justice.   Kingshowman""",1
Sitush is an asshole...die you dog,1
". That's right. You heard me.

FAGGOT",1
"""

 False accusations 

Kim, you have given me inappropriate & inaccurate labels regarding the info that I have added on the Mann talk page. I did not add anything false & included a reliable source. It's well known that you are heavily biased towards AGW in omitting data, being hypocritical & such. It's strange that your editing privileges have not been revoked. In removing my neutral comments, you claim that they are something that are not. It's almost funny how you claim that """"oil"""" does """"something"""" to counter AGW,m without any evidence. If there was a a god, I would know that you are going to hell, for being dishonest & immoral, but your days on Earth, in freedom [which you oppress] are numbered, until you go to jail or worse. You are a threat to liberty.68.180.38.25  (:-()>""",1
is a fucking faggot.,1
"fuck you 

too bad ill turn my router on and off right after this edit, so i dont even have to fucking see your response and vandalise your page all over again....",1
"""

 Here's a Falafel for you you fat piece of shit. 

  HURRICANEFAN25! Y U NO LET ME VANDALIZE!? PLEASE STOP OR I WILL BE FORCE TO MUSHROOM STAMP YOU WITH A FUCKING GOAT HORN! The Game.   """,1
it's non of your business mother fucker,1
"Stop sucking a dong 
Enough has been said. 99.142.17.112",1
"Hello, I made constructive edits. I know you think they weren't, but I guess that makes you wrong. It's okay, mistakes happen, but you should back down and make sure they happen less. Okay? Our public transit systems are going down because of leeches like you. Keep on sucking, loathsome prick from hell.",1
"Bald 

LessHeard vanU is Bald [2x]

YIIIIEEEEEEEEE

LessHeard vanU is Bald! - BALD BALD BALD B-A-L
LessHeard vanU is Bald! - BALD
Bald, he's bald
LessHeard vanU is Bald!
LessHeard vanU is bald [7x]
LessHeard vanU is bald, bald
LessHeard vanU is bald [2x]
LessHeard vanU is bald, bald BAAAAAAAALLLLLLDDDD!!!!
LessHeard vanU is baaaaaaaaaaaaaaald

YIIIIIIEEEEEEEE

LessHeard vanU is bald - HAHAHAHAHAHAHAHAAAA
LessHeard vanU is bald [3x]
LessHeard vanU is bald, bald, bald, bald, LessHeard vanU IS BALD!

LessHeard vanU is bald
I'm telling ya, he's got no fucking hair
B-A-L-D, LessHeard vanU is bald [2x]

LessHeard vanU is bald! - BALD BALD BALD B-A-L
LessHeard vanU is bald! - BALD

Bald to the bone [2x]
I'm telling you baby - HAHAHAHAHAHAHAAAA

LessHeard vanU is bald [2x]
Bald [3x]
LessHeard vanU is baaaaaaaald [5x]

 AQuestion forU 

What is a mid-life crisis? 86.179.40.116",1
", cos its just retarded what you are assuming. nooblet",1
what the fuck who deleted the spider loc and hot rod sections fucking wikipedia stupid ass ignorant people can we get it back ?,1
"Materialscientist is a racist

Seriously, fuck you man. You continuously delete my photos on the page of Al-Mayassa bint Hamad bin Khalifa Al-Thani, which are all posted with the correct CreativeCommons Share-alike 2.0 or 3.0 license... because you're a racist and the Sheikha appears uncovered in these pictures. When I posted photos of Arab males... you do not challenge them what so ever. 

Luckily, I can continue to live my life in the happy company of many friends, family and colleagues... not stationed at a computer 24/7. You're a loser who spends his entire life editing Wikipedia and probably has nothing to show for it. At the end of my life, I'll have had a purpose... a career, family, things I am proud of. You'll just be dust and completely irrelevant to the world... having never done anything more than edited a website.",1
"""

 ROFL 
When I go to edit an article it says 'personal attacks or harrasment of other users'. That is so effing funny right there, """"harrasment of other users"""". Don't post here. not when you cry about the fact I called you 'dumb'.""",1
Fuck veritas this school sucks dick!,1
You sound like you are sexually frustrated. When did you last have sex?,1
I'm sure you eat alot of tube steak,1
FUCK ALL YOU CAMEL JOCKEY PUSSY LICKING DINK LOOKING DICK SUCKERS!!!,1
Bitch nobody cares about your myspace.  You ugly as fuck anyways.  Begging on wikipedia for myspace friends.  You gay as hell,1
"I hate Season 4. If there's one thing I hate more than that, it's Paul Tibbit himself! 

Paul Tibbit is a fucking-ass little piece of smelly donkey shit that raped SpongeBob rock-hard!!! 
I hope Paul Tibbit gets fucking cancer and burns in hell!
PAUL TIBBIT IS A WEED-SMOKING BASTARD WHO COMPLETELY FUCKED UP SPONGEBOB!!!!
SpongeBob is a pile of crap now. I don't think I've ever hated a person more than I hate Paul Tibbit. Him and his piss-poor animation skills.
Yeh Tibbit is SUCH A HOMO!!!!
I hope he fucking dies!
What the motherfucking hell is up with people these days? Nick's people obviously smoked lots and LOTS of crack in 2004!
I love Old SPongeBob. New SpongeBob. I don't blame SB. I blame FUCKING PAUL TIBBIT!!!!  SCREW YOU PAUL!!!!
Thanks to that man-hag SpongeBob is completely f++ked up. 

Now, all Nick Studios cares about is money! And i Mean ONLY MONEY!!! They can do an episode where SpongeBob fucking laughs like a fucking pedophile for 20 minutes straight and NOT CARE AT ALL!!! All these people give a tinker's damn about is money, ratings, and fucking fame and fortune. These guys are like celebrities in disgize! They try hard yet put so little effort into their shows JUST to make a quick damned buck! The new episodes drive me nuts! Like Paul Tibbit even HAS any!!!> If I ever meet Paul in real life I swear to neptune I will cut off his large, hairy ball sack tare out his skull and feast on his insides for Thanksgiving!!!!

Nick's people these days are obviously on tons of marijuana! These drunk dunces have no idea in hell what cartoon quality is ALL ABOUT! It would've been WAY better if they just slaughtered this crappy series after the movie!!!! Why watch this shit anymore when Paul Tibbit DESTROYED SPONGEBOB!!!!!! Little do I understand the appeal of the new SpongeBob. I can't believe Paul Tibbit can actually get away with screwing around with a phenominal TV show like he's on freaking cocaine or something! P. Tibbit should be on trial and should get the death penalty is he's considered guilty. Sure there may be some people out there who like the new SpongeBob, but anyone that does may never understand the meaning of good quality. In conclusion, FUCK YOU PAUL TIBBIT!!! FUCK YOU! FUCK YOU!! FUCK YOU!!! 71.64.6.46",1
mONKeyS aLSO liKE tO fEeL yOU uP WHEN YOUR SLEEPING aNd tEAbAG YOU aNd sKeEt ON yOUr PILlOw when you least expect it.... Most monkeys have diharea after raunchy sex with male hookers and need vicoden to numb the pain. Thats why some of the monkeys asses are red. Because they are sore.,1
"death clear hoax 
this article is one of the biggest jokes on Wikipedia. the introduction section is fucking pathetic, the death section is as lame. Does the CIA fill this page ? Does the white moron house get informed when it's edited ? do you US motherfuckers believe you can act as the rulers of the world for much longer ? Once you get east of germany, nobody believes anything you've been saying for all this years. There is like NO PROOF whatsoever of Bin Laden being alive after like 2002. Videos released again by the terrorist CIA group of a guy with a beard once in a while between 2001 and 2011 make anyone with a brain laugh, same goes for these cia-made videos of a some US agent disguised as an old man with a beard watching stupid shit on tv. This article is an insult to humanity.",1
"You are gay or antisemmitian? 

Archangel WHite Tiger

Meow! Greetingshhh!

Uh, there are two ways, why you do erased my comment about WW2, that holocaust was brutally slaying of Jews and not gays/Gypsys/Slavs/anyone...

1 - If you are anti-semitian, than shave your head bald and go to the skinhead meetings!

2 - If you doubt words of the Bible, that homosexuality is a deadly sin, make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals!

3 - First and last warning, you fucking gay - I won't appreciate if any more nazi shwain would write in my page! I don't wish to talk to you anymore!

Beware of the Dark Side!",1
Then you're both blind and retarded.,1
"""Yes that's because this article is basically the whole """"races don't exist OMG!"""" bullshit that circulates in non-scientific circles (sociology is not a science) 174.54.34.187  

""",1
"How dare you criticise the hard-working and under-rated mods at urban? Those bastards deserved banning, and I'd ban more, in case they posted critical comments too.  I never fucking posted this!",1
What we at Toho Kingdom RULE! Shut up!,1
shut up Katie your not even real,1
know that Salivo sucks,1
"Text Edit

Fuck. Shit. Cunt.",1
"Robert Palmer  

With no respect intended Binknsternet, kiss my ass.  Your Mary Ambrose lies are just that. Lies.  How you continue to get to be an editor here is beyond me.  You're a bully and a liar.  I have loads of back up for my information, unlike you.  I am reporting your for bullying and harassment and posting false information. Mary Ambrose is the hoax, no matter how you spin in.  Consider yourself reported.",1
"Oh, well Harry finally got his payback on me. I could tell you could not stand that I was right about the Ryanair incident. I also like how you got so upset that your minor incident was not going to be included that went ahead and removed the incidents that the Irish aviation authorities labeled as serious incidents and had been in the article for a few years. Harry do wiki a favor and stay away from aviation articles, you obviously have the same insight into aviation as a two year old has into biology. Do me a favor, since this is two personal attacks in 24hrs, PLEASE permanently block me so I don't waste anymore of my time on this excuse of an encyclopedia. After trying to help this site out, it is obvious that this site is a joke. 76.19.222.40",1
Flowers is just some backup characters she has nothing to do with whoever Ramona is. Just add Season 2 please seriously if you don't know 2-4 months from now you're gonna feel like a dumbass like you are.,1
"Do you know what you are? You are a stupid Canadian. And do you know what stupid Canadians do? Nothing. They speak French, and play stupid ice sports. Case closed.",1
this guy is a dirty jew213.152.254.36,1
WHY DO YOU THINK TRIVIUM'S MUSIC IS GREA TIDIOT IT'S JUST FUCKING METALLICA COPY STUPID AND THEY SUCK AND HE MAKES GAY FACE WHEN HE SINGS AND HE CAN'T FUCKIG SCREAM PROPERLY HE'S EMO FAGGOT MATT HEAFY LIKES COCK FUCK YOU IDIOT.,1
"FisherQueen, would you kindly stop following my every move and deleting things off MY user page. Havent you got anything better to do than piss people off on Wikipedia.",1
Blah Blah Blah. Cry me a river. Go suck a prick.,1
"Gay Sex

Demiurge is always up for some hot gay sex.",1
"Editing Wikipedia 

Fuck You, you anal rapist",1
u r sooooooooooooo gay,1
"England Society (Keele University) 

Regan, You have no reason to play any part in this article's deletion other than you're a narcissistic twat. Now get out of it.",1
"""

 RE: NAIR!!! 

Sorry Karl, I wasn't able to see your Mason article in time cuz they deleted it already b4 I got home from school today....oh well. And yes you are absolutely right we won't ever stop making fun of her......in fact, if anyone in our group of peeps refuses to make fun of her.......i shall kill them..... Higgins!!!!!!!! No more wh*r* who wont shut up about her taxes about which no one cares, no more NAIR-chinned old hag, no more hunchback Bailey obsessed geezer who says """"if ya want to........."""" and finally, no more pot-smoking sexist b*tch hippie with all her f*ck*ng """"awwwwwwwwwww""""s and """"so true..........""""s who if i ever see her this summer im gonna give her a taste of her own medicine and roll her up in piece of paper and light 'er up and smoke up the wazoo!!!!!!!!!!!!! HIPPIE!!!!!!!!!!!!!!!  """,1
"Well, you're very rude! I was only trying to get to know about your situation. I'm not a paedophile or anything like that, though I'm sure you doubt my motives in talking to you! Can't you just regress from your silly little persona for a moment or two? You aren't a doctor, you aren't a barrister; you're just a Wikipedia with too much time and not enough love! How tragic it sounds! That sounds too similar to my situation... woe is me!! Anyway, I've tried and I've failed. Tried is also an anagram for tired, that which I am. Goodnight MR JD_UK. (Remember what I have said though, please. Remove it if you will, I shan't care too much whilst I am in the land of nod, only to revert it back tomorrow anyway). Sleep well my pansy.",1
"RE:  Hulk changes.

Fuck off idiot.

user coldbrotha",1
"okay that was gay like me....absolutely....uninformative, gay like me im gay mutha fucka! ooo i want sum cock ass hairy balls1 im gay",1
Stop talking you stink of penis breath.,1
"you are being an anonymous cunt. please either be a cunt with a name and a face (by registering, or at least participating in discussions on the talk page) or a regular cunt-free anonymous contributor (by not being a cunt)

THANK YOU FOR YOUR COOPERATION ~",1
"Angela needs to get out of her little box 

Angela is hiding from reality, yeah you know that girl with her picture on her page, and face the music that I am planning on giving her the red card, she has been offensive in every way and since she has the barn star award i am upping it by giving her the dumb idiots award. thanks",1
"Yeah, whatever. You are an arrogant deluded buffoon with a defective brain. Seek medical help.

Newsflash: Wikipedia is a disaster.",1
"No wonder I'm being uncivil, when you're stupid. Look at my block log, I wasn't blocked for uncivility or even edit-warring, sure block me for that, I don't care, but I was blocked on wrong bases and if you wanna block, you gonna have to block the other guy aswell. But no, the blocking admin is protecting his own friend, can't you see it? Btw, about my revert wars recently, it has been with socks to , and even to this day  he is reverting with his socks.",1
"Shove that barnstar up your ass, you faggot.",1
"Issues with Knox 

Knox run things like Gala Days, festivals etc. and you know what? Along Redleaf Ave and the Pacific Hwy, they illegally park. Now, I know a friend who lives on the Pcfc Hwy in Wahroonga, and the snobby bastards from Knox come along and completely block people's driveways. They can't get out! However, it's not illegal and the people of Wahroonga complain to Ku-ring-gai Council and what do they get? Nothing! It's ridiculous that bastards like that can get away with it. Somebody needs to add another section on this article talking about this issue, so that people who want to know more about the school and also people who attend the school can realise just how much arrogant and jerky they are!",1
"Jews and Jews 

Can we (meaning male whites) truely co-exist with Jews? I mean niggers and spics are bad enough but the fucking jews go too far. I think there should be a genocide, and there should be an article on wikipedia that encourages the death of jews, for those who agree please message here, for those that don't, eat me. We Came In?",1
YOU SUCK!! Deadly ASSASSIN IS GAY,1
How about you fuck off and don't stalk my edits?  201.215.187.159,1
"""

 Welcome Chan! Just so you know, Arbusto is bold-faced lying. He has no proof that Jason Gastrich even posts on Wikipedia any more. There isn't even an outstanding accusation from someone that they received a message from Jason telling them to vote. Arbusto is a liar, so don't feel that you even need to reply to him (or her, I don't know which gender an """"Arbustoo"""" is). If I were you, I'd ignore him altogether until he gets his act together and stops lying and trying to deceive.  """,1
